bond,angle,polynomial
0.9150753768844221,123.46733668341709,-200.3232710176471
0.9150753768844221,123.91959798994975,-200.32620701586126
0.9150753768844221,124.37185929648241,-200.32911153939864
0.9150753768844221,124.82412060301507,-200.33198438404284
0.9150753768844221,125.27638190954774,-200.33482535129053
0.9150753768844221,125.7286432160804,-200.33763424835178
0.9150753768844221,126.18090452261308,-200.34041088814982
0.9150753768844221,126.63316582914572,-200.34315508932102
0.9150753768844221,127.0854271356784,-200.34586667621502
0.9150753768844221,127.53768844221105,-200.3485454788946
0.9150753768844221,127.98994974874373,-200.35119133313592
0.9150753768844221,128.44221105527637,-200.35380408042838
0.9150753768844221,128.89447236180905,-200.35638356797423
0.9150753768844221,129.3467336683417,-200.35892964868935
0.9150753768844221,129.79899497487438,-200.36144218120256
0.9150753768844221,130.25125628140705,-200.3639210298561
0.9150753768844221,130.7035175879397,-200.36636606470535
0.9150753768844221,131.15577889447235,-200.3687771615188
0.9150753768844221,131.60804020100502,-200.37115420177827
0.9150753768844221,132.0603015075377,-200.37349707267873
0.9150753768844221,132.51256281407035,-200.37580566712847
0.9150753768844221,132.96482412060303,-200.37807988374897
0.9150753768844221,133.41708542713567,-200.38031962687475
0.9150753768844221,133.86934673366835,-200.3825248065538
0.9150753768844221,134.321608040201,-200.38469533854712
0.9150753768844221,134.77386934673368,-200.38683114432897
0.9150753768844221,135.22613065326632,-200.388932151087
0.9150753768844221,135.678391959799,-200.3909982917219
0.9150753768844221,136.13065326633165,-200.39302950484748
0.9150753768844221,136.58291457286433,-200.39502573479112
0.9150753768844221,137.035175879397,-200.39698693159312
0.9150753768844221,137.48743718592965,-200.39891305100696
0.9150753768844221,137.9396984924623,-200.40080405449953
0.9150753768844221,138.39195979899498,-200.40265990925087
0.9150753768844221,138.84422110552765,-200.4044805881542
0.9150753768844221,139.2964824120603,-200.406266069816
0.9150753768844221,139.74874371859298,-200.4080163385559
0.9150753768844221,140.20100502512562,-200.40973138440677
0.9150753768844221,140.6532663316583,-200.4114112031147
0.9150753768844221,141.10552763819095,-200.4130557961391
0.9150753768844221,141.55778894472363,-200.41466517065246
0.9150753768844221,142.01005025125627,-200.41623933954057
0.9150753768844221,142.46231155778895,-200.41777832140224
0.9150753768844221,142.9145728643216,-200.41928214054977
0.9150753768844221,143.36683417085428,-200.4207508270085
0.9150753768844221,143.81909547738695,-200.42218441651707
0.9150753768844221,144.2713567839196,-200.42358295052725
0.9150753768844221,144.72361809045225,-200.4249464762042
0.9150753768844221,145.17587939698493,-200.42627504642607
0.9150753768844221,145.6281407035176,-200.4275687197844
0.9150753768844221,146.08040201005025,-200.42882756058378
0.9150753768844221,146.53266331658293,-200.43005163884223
0.9150753768844221,146.98492462311557,-200.43124103029078
0.9150753768844221,147.43718592964825,-200.4323958163737
0.9150753768844221,147.8894472361809,-200.43351608424874
0.9150753768844221,148.34170854271358,-200.43460192678648
0.9150753768844221,148.79396984924622,-200.435653442571
0.9150753768844221,149.2462311557789,-200.4366707358994
0.9150753768844221,149.69849246231155,-200.4376539167822
0.9150753768844221,150.15075376884423,-200.43860310094294
0.9150753768844221,150.6030150753769,-200.43951840981853
0.9150753768844221,151.05527638190955,-200.44039997055896
0.9150753768844221,151.5075376884422,-200.4412479160275
0.9150753768844221,151.95979899497488,-200.4420623848006
