bond,angle,spline
0.907537688442211,133.41708542713567,-15.334956957646744
0.907537688442211,133.86934673366835,-15.335398290431886
0.907537688442211,134.321608040201,-15.335834671837329
0.907537688442211,134.77386934673368,-15.3362661288715
0.907537688442211,135.22613065326632,-15.336692688542824
0.907537688442211,135.678391959799,-15.337114377859736
0.907537688442211,136.13065326633165,-15.337531223830666
0.907537688442211,136.58291457286433,-15.337943253464058
0.907537688442211,137.035175879397,-15.338350493768319
0.907537688442211,137.48743718592965,-15.338752971751898
0.907537688442211,137.9396984924623,-15.339150714423235
0.907537688442211,138.39195979899498,-15.339543748790744
0.907537688442211,138.84422110552765,-15.339932101862862
0.907537688442211,139.2964824120603,-15.340315800648025
0.907537688442211,139.74874371859298,-15.340694872154668
0.907537688442211,140.20100502512562,-15.341069343213817
0.907537688442211,140.6532663316583,-15.341439235276406
0.907537688442211,141.10552763819095,-15.341804563573387
0.907537688442211,141.55778894472363,-15.342165342989235
0.907537688442211,142.01005025125627,-15.342521588408447
0.907537688442211,142.46231155778895,-15.342873314715481
0.907537688442211,142.9145728643216,-15.343220536794819
0.907537688442211,143.36683417085428,-15.343563269530938
0.907537688442211,143.81909547738695,-15.343901527808335
0.907537688442211,144.2713567839196,-15.344235326511464
0.907537688442211,144.72361809045225,-15.34456468052482
0.907537688442211,145.17587939698493,-15.344889604732874
0.907537688442211,145.6281407035176,-15.345210114020112
0.907537688442211,146.08040201005025,-15.345526223270992
0.907537688442211,146.53266331658293,-15.345837947370025
0.907537688442211,146.98492462311557,-15.346145301201659
0.907537688442211,147.43718592964825,-15.346448299650389
0.907537688442211,147.8894472361809,-15.346746957600683
0.907537688442211,148.34170854271358,-15.347041289937035
0.907537688442211,148.79396984924622,-15.34733131154391
0.907537688442211,149.2462311557789,-15.347617037305797
0.907537688442211,149.69849246231155,-15.347898482107158
0.907537688442211,150.15075376884423,-15.34817566077403
0.907537688442211,150.6030150753769,-15.348448584624938
0.907537688442211,151.05527638190955,-15.348717259541795
0.907537688442211,151.5075376884422,-15.348981690938873
0.907537688442211,151.95979899497488,-15.349241884230418
0.907537688442211,152.41206030150755,-15.349497844830694
0.907537688442211,152.8643216080402,-15.349749578153949
0.907537688442211,153.31658291457288,-15.349997089614444
0.907537688442211,153.76884422110552,-15.350240384626439
0.907537688442211,154.2211055276382,-15.350479468604188
0.907537688442211,154.67336683417085,-15.350714346961944
0.907537688442211,155.12562814070353,-15.350945025113969
0.907537688442211,155.5778894472362,-15.351171508474511
0.907537688442211,156.03015075376885,-15.35139380245784
0.907537688442211,156.4824120603015,-15.351611912478202
0.907537688442211,156.93467336683418,-15.351825843949861
0.907537688442211,157.38693467336685,-15.35203560228707
0.907537688442211,157.8391959798995,-15.352241192904078
0.907537688442211,158.29145728643215,-15.352442621215154
0.907537688442211,158.74371859296483,-15.352639892634548
0.907537688442211,159.1959798994975,-15.352833012576522
0.907537688442211,159.64824120603015,-15.353021986455325
0.907537688442211,160.1005025125628,-15.353206819673888
0.907537688442211,160.55276381909547,-15.353387515794449
0.907537688442211,161.00502512562815,-15.353564074519378
0.907537688442211,161.4572864321608,-15.353736495065009
0.907537688442211,161.90954773869348,-15.353904776647685
0.907537688442211,162.36180904522615,-15.354068918483739
0.907537688442211,162.8140703517588,-15.354228919789508
0.907537688442211,163.26633165829145,-15.354384779781327
0.907537688442211,163.71859296482413,-15.354536497675543
0.907537688442211,164.1708542713568,-15.35468407268848
0.907537688442211,164.62311557788945,-15.354827504036482
0.907537688442211,165.0753768844221,-15.354966790935878
0.907537688442211,165.52763819095478,-15.355101932603018
0.907537688442211,165.97989949748745,-15.355232928254228
0.907537688442211,166.4321608040201,-15.355359777105855
0.907537688442211,166.88442211055275,-15.355482478374224
0.907537688442211,167.33668341708542,-15.355601031275679
0.907537688442211,167.7889447236181,-15.355715435026552
0.907537688442211,168.24120603015075,-15.355825688843197
0.907537688442211,168.69346733668343,-15.355931791941932
0.907537688442211,169.1457286432161,-15.356033743539097
0.907537688442211,169.59798994974875,-15.356131542851028
0.907537688442211,170.0502512562814,-15.356225189094069
0.907537688442211,170.50251256281408,-15.356314681484559
0.907537688442211,170.95477386934675,-15.356400019238825
0.907537688442211,171.4070351758794,-15.35648120157321
0.907537688442211,171.85929648241205,-15.356558227704046
0.907537688442211,172.31155778894473,-15.356631096847677
0.907537688442211,172.7638190954774,-15.356699808220434
0.907537688442211,173.21608040201005,-15.356764361038657
0.907537688442211,173.6683417085427,-15.356824754518687
0.907537688442211,174.12060301507537,-15.356880987876854
0.907537688442211,174.57286432160805,-15.356933060329489
0.907537688442211,175.0251256281407,-15.35698097109295
0.907537688442211,175.47738693467338,-15.357024719383553
0.907537688442211,175.92964824120605,-15.357064304417646
0.907537688442211,176.3819095477387,-15.357099725411562
0.907537688442211,176.83417085427135,-15.357130981581642
0.907537688442211,177.28643216080403,-15.357158072144212
0.907537688442211,177.7386934673367,-15.357180996315632
0.907537688442211,178.19095477386935,-15.357199753312214
0.907537688442211,178.643216080402,-15.3572143423503
0.907537688442211,179.09547738693468,-15.357224762646236
0.907537688442211,179.54773869346735,-15.357231013416355
0.907537688442211,180.0,-15.357233093876996
0.9150753768844221,90.0,-15.273234504757253
0.9150753768844221,90.45226130653266,-15.274375842516719
0.9150753768844221,90.90452261306532,-15.275506815642366
0.9150753768844221,91.35678391959799,-15.27662749548606
0.9150753768844221,91.80904522613065,-15.277737953399686
0.9150753768844221,92.26130653266331,-15.27883826073511
0.9150753768844221,92.71356783919597,-15.279928488844218
0.9150753768844221,93.16582914572864,-15.281008709078879
0.9150753768844221,93.61809045226131,-15.282078992790975
0.9150753768844221,94.07035175879398,-15.28313941133237
0.9150753768844221,94.52261306532664,-15.284190036054948
0.9150753768844221,94.9748743718593,-15.285230938310587
0.9150753768844221,95.42713567839196,-15.286262189451161
0.9150753768844221,95.87939698492463,-15.28728386082854
0.9150753768844221,96.33165829145729,-15.288296023794604
