r_no,spline,linear
1.7105263157894737,-181.18109177499042,-181.1812229600478
1.714035087719298,-181.18093278293975,-181.18109918145
1.7175438596491226,-181.1807778794052,-181.1809754028522
1.7210526315789472,-181.18062696302653,-181.18085162425442
1.7245614035087717,-181.18047993244352,-181.1807278456566
1.7280701754385963,-181.18033668629602,-181.18060406705882
1.7315789473684209,-181.1801971232237,-181.18048028846104
1.7350877192982455,-181.1800611418664,-181.18035650986323
1.73859649122807,-181.17992864086395,-181.18023273126545
1.7421052631578946,-181.17979951885607,-181.18010895266767
1.7456140350877192,-181.1796736744826,-181.17998517406986
1.7491228070175437,-181.17955100638326,-181.17986139547207
1.7526315789473683,-181.17943141319788,-181.17973761687426
1.756140350877193,-181.17931479356622,-181.17961383827648
1.7596491228070175,-181.17920104612813,-181.1794900596787
1.763157894736842,-181.17909006952328,-181.1793662810809
1.7666666666666666,-181.17898176239152,-181.1792425024831
1.7701754385964912,-181.17887602337268,-181.17911872388532
1.7736842105263158,-181.17877275110646,-181.1789949452875
1.7771929824561403,-181.17867184423267,-181.17887116668973
1.780701754385965,-181.17857320139115,-181.17874738809195
1.7842105263157895,-181.1784767212216,-181.17862360949414
1.787719298245614,-181.17838230236387,-181.17849983089636
1.7912280701754386,-181.17828984345775,-181.17837605229855
1.7947368421052632,-181.17819924314293,-181.17825227370076
1.7982456140350878,-181.1781104000593,-181.17812849510298
1.8017543859649123,-181.17802321420166,-181.17803199315088
1.805263157894737,-181.1779376167319,-181.1779627678445
1.8087719298245615,-181.17785356997894,-181.1778935425381
1.812280701754386,-181.17777103762663,-181.17782431723168
1.8157894736842104,-181.1776899833589,-181.1777550919253
1.819298245614035,-181.17761037085975,-181.1776858666189
1.8228070175438595,-181.17753216381317,-181.1776166413125
1.8263157894736841,-181.177455325903,-181.17754741600612
1.8298245614035087,-181.1773798208132,-181.17747819069973
1.8333333333333333,-181.17730561222777,-181.1774089653933
1.8368421052631578,-181.17723266383064,-181.17733974008692
1.8403508771929824,-181.17716093930568,-181.17727051478053
1.843859649122807,-181.17709040233692,-181.17720128947414
1.8473684210526315,-181.17702101660825,-181.17713206416775
1.850877192982456,-181.17695274580365,-181.17706283886133
1.8543859649122805,-181.176885553607,-181.17699361355494
1.857894736842105,-181.17681940370232,-181.17692438824855
1.8614035087719296,-181.1767542597735,-181.17685516294216
1.8649122807017542,-181.17669008550448,-181.17678593763577
1.8684210526315788,-181.17662684457926,-181.17671671232938
1.8719298245614033,-181.1765645006817,-181.17664748702296
1.875438596491228,-181.17650301749583,-181.17657826171657
1.8789473684210525,-181.17644235870551,-181.17650903641018
1.882456140350877,-181.17638248799474,-181.1764398111038
1.8859649122807016,-181.17632336904745,-181.1763705857974
1.8894736842105262,-181.17626496554755,-181.176301360491
1.8929824561403508,-181.17620724117901,-181.1762321351846
1.8964912280701753,-181.17615015962582,-181.1761629098782
1.9,-181.1760936845718,-181.1760936845718
