r_nn,spline,linear
1.0401002506265664,-181.2140638941355,-181.20035459006468
1.043358395989975,-181.21788180882632,-181.2039678352163
1.0466165413533834,-181.22157581027923,-181.20758108036793
1.049874686716792,-181.22514856795047,-181.21119432551956
1.0531328320802005,-181.22860275129617,-181.21480757067118
1.056390977443609,-181.2319410297725,-181.2184208158228
1.0596491228070175,-181.23516607283574,-181.22203406097444
1.0629072681704261,-181.2382805499419,-181.22564730612604
1.0661654135338345,-181.24128713054716,-181.22926055127766
1.0694235588972432,-181.24418848410775,-181.2328737964293
1.0726817042606516,-181.24698728007985,-181.23648704158092
1.0759398496240602,-181.2496861879196,-181.24010028673254
1.0791979949874686,-181.25228787708312,-181.24371353188417
1.0824561403508772,-181.25479501702668,-181.2473267770358
1.0857142857142856,-181.25721027720638,-181.25094002218742
1.0889724310776943,-181.25953632707842,-181.25455326733902
1.0922305764411027,-181.26177583609893,-181.25816651249065
1.0954887218045113,-181.26393147372409,-181.26177975764227
1.0987468671679197,-181.26600590941007,-181.2653930027939
1.1020050125313283,-181.2680017553688,-181.2673999560534
1.1052631578947367,-181.26992081736165,-181.26840297688028
1.1085213032581454,-181.2717643050047,-181.2694059977072
1.111779448621554,-181.2735334139386,-181.2704090185341
1.1150375939849624,-181.27522933980384,-181.271412039361
1.118295739348371,-181.27685327824105,-181.2724150601879
1.1215538847117794,-181.2784064248907,-181.27341808101482
1.124812030075188,-181.2798899753934,-181.2744211018417
1.1280701754385964,-181.28130512538968,-181.27542412266862
1.131328320802005,-181.28265307052007,-181.27642714349554
1.1345864661654135,-181.28393500642522,-181.27743016432242
1.137844611528822,-181.28515212874558,-181.27843318514934
1.1411027568922305,-181.28630563312177,-181.27943620597622
1.1443609022556391,-181.2873967151943,-181.28043922680314
1.1476190476190475,-181.2884265706038,-181.28144224763005
1.1508771929824562,-181.28939639499072,-181.28244526845694
1.1541353383458646,-181.29030738399564,-181.28344828928385
1.1573934837092732,-181.29116073325918,-181.28445131011077
1.1606516290726816,-181.29195763842188,-181.28545433093765
1.1639097744360902,-181.2926992951242,-181.28645735176457
1.1671679197994989,-181.2933868990068,-181.28746037259148
1.1704260651629073,-181.2940216457102,-181.28846339341837
1.1736842105263157,-181.29460473087497,-181.28946641424528
1.1769423558897243,-181.2951373501416,-181.2904694350722
1.180200501253133,-181.29562069915073,-181.29147245589908
1.1834586466165413,-181.29605597354285,-181.292475476726
1.1867167919799497,-181.29644436895856,-181.29347849755288
1.1899749373433584,-181.2967870810384,-181.2944815183798
1.193233082706767,-181.29708530542288,-181.2954845392067
1.1964912280701754,-181.2973402377526,-181.2964875600336
1.199749373433584,-181.29755307366815,-181.2974905808605
1.2030075187969924,-181.29772493858277,-181.2972597922092
1.206265664160401,-181.29785660380688,-181.29692618610136
1.2095238095238094,-181.29794872929511,-181.29659257999353
1.212781954887218,-181.29800197496152,-181.2962589738857
1.2160401002506265,-181.2980170007202,-181.29592536777787
1.219298245614035,-181.29799446648508,-181.29559176167004
1.2225563909774435,-181.29793503217027,-181.2952581555622
1.2258145363408521,-181.29783935768978,-181.29492454945438
1.2290726817042605,-181.29770810295767,-181.29459094334655
1.2323308270676692,-181.29754192788792,-181.29425733723872
1.2355889724310778,-181.29734149239462,-181.2939237311309
1.2388471177944862,-181.29710745639179,-181.29359012502306
1.2421052631578946,-181.29684047979345,-181.29325651891523
1.2453634085213032,-181.29654122251367,-181.2929229128074
1.2486215538847119,-181.29621034446643,-181.29258930669957
1.2518796992481203,-181.2958485055658,-181.29225570059174
1.2551378446115287,-181.2954563657258,-181.2919220944839
1.2583959899749373,-181.29503458486053,-181.29158848837605
1.261654135338346,-181.29458382288394,-181.29125488226822
1.2649122807017543,-181.29410473971015,-181.2909212761604
1.268170426065163,-181.29359799525307,-181.29058767005256
1.2714285714285714,-181.29306424942686,-181.29025406394473
1.27468671679198,-181.2925041621455,-181.2899204578369
1.2779448621553884,-181.29191839332304,-181.28958685172907
1.281203007518797,-181.2913076028735,-181.28925324562124
1.2844611528822054,-181.29067245071093,-181.2889196395134
1.287719298245614,-181.29001359674933,-181.28858603340558
1.2909774436090224,-181.2893317009028,-181.28825242729775
1.294235588972431,-181.28862742308533,-181.28791882118992
1.2974937343358395,-181.28790142321094,-181.2875852150821
1.300751879699248,-181.28715436031982,-181.28709056550846
1.3040100250626567,-181.28638676436788,-181.2860591043822
1.3072681704260651,-181.28559890096093,-181.28502764325592
1.3105263157894735,-181.28479100333652,-181.28399618212964
1.3137844611528822,-181.28396330473214,-181.28296472100337
1.3170426065162908,-181.28311603838537,-181.2819332598771
1.3203007518796992,-181.28224943753386,-181.28090179875082
1.3235588972431076,-181.2813637354151,-181.27987033762454
1.3268170426065162,-181.28045916526668,-181.27883887649827
1.3300751879699249,-181.27953596032614,-181.277807415372
1.3333333333333333,-181.27859435383112,-181.27677595424572
1.3365914786967419,-181.27763457901906,-181.27574449311945
1.3398496240601503,-181.27665686912766,-181.27471303199317
1.343107769423559,-181.27566145739445,-181.2736815708669
1.3463659147869673,-181.27464857705692,-181.27265010974062
1.349624060150376,-181.27361846135267,-181.27161864861435
1.3528822055137844,-181.2725713435193,-181.27058718748808
