r_nn,r_no,spline
0.91356783919598,1.1572864321608038,-180.9335128930699
0.91356783919598,1.1610552763819093,-180.93443964548408
0.91356783919598,1.164824120603015,-180.93528862398156
0.91356783919598,1.1685929648241205,-180.93606235789017
0.91356783919598,1.172361809045226,-180.93676337653773
0.91356783919598,1.1761306532663314,-180.93739420925198
0.91356783919598,1.179899497487437,-180.9379573853608
0.91356783919598,1.1836683417085425,-180.93845543419204
0.91356783919598,1.187437185929648,-180.93889088507336
0.91356783919598,1.1912060301507537,-180.9392662673327
0.91356783919598,1.1949748743718591,-180.93958411029772
0.91356783919598,1.1987437185929646,-180.93984694329637
0.91356783919598,1.20251256281407,-180.9400572956565
0.91356783919598,1.2062814070351757,-180.9402176967058
0.91356783919598,1.2100502512562812,-180.94033067577206
0.91356783919598,1.2138190954773866,-180.9403987621831
0.91356783919598,1.2175879396984923,-180.94042448526687
0.91356783919598,1.2213567839195978,-180.9404103743511
0.91356783919598,1.2251256281407032,-180.9403589587635
0.91356783919598,1.2288944723618087,-180.940272767832
0.91356783919598,1.2326633165829144,-180.94015433088435
0.91356783919598,1.2364321608040199,-180.9400061772483
0.91356783919598,1.2402010050251255,-180.93983083625187
0.91356783919598,1.243969849246231,-180.93963083722267
0.91356783919598,1.2477386934673365,-180.9394087094885
0.91356783919598,1.251507537688442,-180.93916696198963
0.91356783919598,1.2552763819095474,-180.93890731109573
0.91356783919598,1.259045226130653,-180.9386304435992
0.91356783919598,1.2628140703517585,-180.93833697748428
0.91356783919598,1.2665829145728642,-180.9380275307352
0.91356783919598,1.2703517587939697,-180.93770272133614
0.91356783919598,1.2741206030150751,-180.9373631672714
0.91356783919598,1.2778894472361806,-180.93700948652486
0.91356783919598,1.281658291457286,-180.93664229708108
0.91356783919598,1.2854271356783917,-180.93626221692378
0.91356783919598,1.2891959798994972,-180.93586986403764
0.91356783919598,1.2929648241206029,-180.93546585640658
0.91356783919598,1.2967336683417083,-180.93505081201482
0.91356783919598,1.3005025125628138,-180.93462534884654
0.91356783919598,1.3042713567839193,-180.93419008488593
0.91356783919598,1.308040201005025,-180.93374563811727
0.91356783919598,1.3118090452261304,-180.9332926265246
0.91356783919598,1.3155778894472359,-180.9328316680922
0.91356783919598,1.3193467336683415,-180.93236338080422
0.91356783919598,1.323115577889447,-180.93188838264484
0.91356783919598,1.3268844221105525,-180.9314072915983
0.91356783919598,1.330653266331658,-180.93092072564863
0.91356783919598,1.3344221105527636,-180.93042930278028
0.91356783919598,1.338190954773869,-180.92993364097723
