oo,polynomial,linear
2.11779448621554,-148.74170105938757,-148.7418355199441
2.1228070175438605,-148.74147444187807,-148.7416355665335
2.127819548872181,-148.74125259499547,-148.7414356131229
2.132832080200502,-148.74103544852267,-148.7412356597123
2.137844611528823,-148.7408229414186,-148.7410357063017
2.1428571428571437,-148.74061502119594,-148.7408357528911
2.147869674185465,-148.7404116428825,-148.74063579948051
2.1528822055137855,-148.7402127675818,-148.74043584606991
2.157894736842106,-148.74001836065867,-148.7402358926593
2.162907268170427,-148.73982838958162,-148.7400359392487
2.1679197994987476,-148.7396428214626,-148.7398359858381
2.1729323308270687,-148.7394616203416,-148.7396360324275
2.1779448621553894,-148.73928474426992,-148.7394360790169
2.1829573934837105,-148.73911214225228,-148.7392361256063
2.1879699248120312,-148.7389437511127,-148.7390361721957
2.192982456140352,-148.73877949235407,-148.7388362187851
2.1979949874686726,-148.73861926908353,-148.73863626537454
2.2030075187969933,-148.7384629630796,-148.7384742506505
2.208020050125314,-148.73831043207656,-148.7383375283842
2.213032581453635,-148.73816150734288,-148.7382008061179
2.218045112781956,-148.73801599162786,-148.73806408385158
2.223057644110277,-148.73787365754976,-148.7379273615853
2.2280701754385976,-148.73773424649266,-148.73779063931897
2.2330827067669183,-148.7375974680762,-148.73765391705268
2.238095238095239,-148.73746300025422,-148.73751719478636
2.2431077694235597,-148.73733049009178,-148.73738047252007
2.2481203007518804,-148.73719955525954,-148.73724375025375
2.2531328320802015,-148.73706978627644,-148.73710702798746
2.2581453634085222,-148.7369407495182,-148.73697030572114
2.2631578947368434,-148.73681199099846,-148.73683358345485
2.268170426065164,-148.73668304091623,-148.73669686118856
2.2731829573934847,-148.73655341894855,-148.73656013892224
2.2781954887218054,-148.73642264025477,-148.73642341665595
2.283208020050126,-148.73629022214263,-148.73628669438963
2.2882205513784473,-148.73615569133278,-148.73614997212334
2.293233082706768,-148.73601859174312,-148.73601324985702
2.298245614035089,-148.7358784926999,-148.73587652759073
2.30325814536341,-148.7357349974689,-148.73571344777085
2.3082706766917305,-148.73558775198677,-148.7355361754221
2.313283208020051,-148.73543645365964,-148.73535890307338
2.318295739348372,-148.73528086008645,-148.73518163072464
2.3233082706766925,-148.73512079755344,-148.7350043583759
2.3283208020050137,-148.73495616913914,-148.73482708602717
2.3333333333333344,-148.73478696226346,-148.73464981367843
2.3383458646616555,-148.7346132555096,-148.7344725413297
2.343358395989976,-148.73443522454747,-148.734295268981
2.348370927318297,-148.73425314698721,-148.73411799663225
2.3533834586466176,-148.73406740599606,-148.7339407242835
2.3583959899749383,-148.73387849251844,-148.73376345193478
2.363408521303259,-148.73368700594835,-148.73358617958604
2.36842105263158,-148.73349365311714,-148.7334089072373
2.373433583959901,-148.7332992454745,-148.73323163488857
2.378446115288222,-148.7331046943612,-148.73305436253983
2.3834586466165426,-148.73291100429296,-148.7328770901911
2.3884711779448633,-148.73271926420193,-148.73269981784236
2.393483709273184,-148.73253063660957,-148.73252254549365
2.3984962406015047,-148.7323463447365,-148.73234527314492
2.4035087719298254,-148.7321676575892,-148.7322532740963
2.4085213032581465,-148.7319958730986,-148.73219782074779
2.4135338345864676,-148.73183229942538,-148.73214236739923
2.4185463659147883,-148.73167823458456,-148.7320869140507
2.423558897243109,-148.7315349445855,-148.73203146070216
2.4285714285714297,-148.73140364032196,-148.73197600735364
2.4335839598997504,-148.7312854534918,-148.73192055400511
2.438596491228071,-148.73118141186387,-148.73186510065656
2.4436090225563922,-148.73109241425206,-148.73180964730804
2.448621553884713,-148.73101920559284,-148.7317541939595
2.453634085213034,-148.7309623525586,-148.73169874061097
2.4586466165413547,-148.73092222017044,-148.73164328726241
2.4636591478696754,-148.73089894990184,-148.7315878339139
2.468671679197996,-148.73089243978646,-148.73153238056537
2.473684210526317,-148.73090232705962,-148.73147692721682
2.4786967418546375,-148.73092797387216,-148.7314214738683
2.4837092731829586,-148.73096845661618,-148.73136602051974
2.4887218045112793,-148.73102255939608,-148.73131056717122
2.4937343358396005,-148.73108877215932,-148.7312551138227
2.498746867167921,-148.73116529397632,-148.73119966047415
2.503759398496242,-148.73125004191874,-148.73116707502388
2.5087719298245625,-148.73134066593684,-148.73114211220636
2.5137844611528832,-148.7314345700735,-148.73111714938884
2.518796992481204,-148.7315289402784,-148.73109218657132
2.523809523809525,-148.73162077899738,-148.7310672237538
2.5288220551378457,-148.7317069466123,-148.73104226093625
2.533834586466167,-148.7317842096916,-148.73101729811873
2.5388471177944876,-148.73184929588638,-148.7309923353012
