dihedral,polynomial,linear
120.90225563909773,-148.79308684064046,-148.79307585758497
121.3533834586466,-148.79346388070934,-148.79342806844534
121.80451127819548,-148.79385124232823,-148.79378027930568
122.25563909774435,-148.79424686676458,-148.79413249016605
122.70676691729322,-148.79464861054996,-148.79448470102642
123.1578947368421,-148.7950542637727,-148.79483691188676
123.60902255639097,-148.79546156952188,-148.79518912274713
124.06015037593984,-148.7958682443177,-148.7955413336075
124.51127819548871,-148.79627199934575,-148.79589354446784
124.96240601503759,-148.7966705622966,-148.79624575532821
125.41353383458646,-148.7970616995967,-148.79659796618856
125.86466165413533,-148.79744323880303,-148.79695017704893
126.3157894736842,-148.79781309092272,-148.7973023879093
126.76691729323308,-148.79816927240762,-148.79765459876964
127.21804511278195,-148.79850992656702,-148.79800680963
127.66917293233082,-148.79883334413572,-148.79835902049035
128.12030075187968,-148.79913798273157,-148.79871123135072
128.57142857142856,-148.79942248493663,-148.7990634422111
129.02255639097743,-148.79968569473843,-148.79941565307143
129.4736842105263,-148.799926672074,-148.7997678639318
129.92481203007517,-148.80014470522747,-148.80012007479218
130.37593984962405,-148.80033932084498,-148.8001926190953
130.82706766917292,-148.80051029134643,-148.80020923008698
131.2781954887218,-148.80065763953178,-148.80022584107866
131.72932330827066,-148.8007816402036,-148.80024245207034
132.18045112781954,-148.80088281865298,-148.80025906306201
132.6315789473684,-148.80096194588612,-148.8002756740537
133.08270676691728,-148.80102003050195,-148.80029228504537
133.53383458646616,-148.80105830716838,-148.80030889603705
133.98496240601503,-148.80107822168338,-148.80032550702873
134.4360902255639,-148.8010814126516,-148.8003421180204
134.88721804511277,-148.80106968985137,-148.8003587290121
135.33834586466165,-148.80104500941624,-148.80037534000377
135.78947368421052,-148.80100944600466,-148.80039195099545
136.2406015037594,-148.80096516218381,-148.80040856198713
136.69172932330827,-148.8009143753069,-148.8004251729788
137.14285714285714,-148.80085932221704,-148.80044178397048
137.593984962406,-148.8008022221652,-148.80045839496216
138.04511278195488,-148.8007452383839,-148.80047500595384
138.49624060150376,-148.80069043880985,-148.80049161694552
138.94736842105263,-148.80063975650103,-148.8005082279372
139.3984962406015,-148.8005949503407,-148.80052483892888
139.84962406015038,-148.80055756666576,-148.80054144992056
140.30075187969925,-148.8005289024969,-148.80054796730207
140.75187969924812,-148.80050997108268,-148.80054943787846
141.203007518797,-148.80050147049812,-148.80055090845485
141.65413533834587,-148.80050375605845,-148.80055237903127
142.10526315789474,-148.80051681732178,-148.80055384960767
142.5563909774436,-148.80054026045605,-148.80055532018406
143.00751879699249,-148.8005732967381,-148.80055679076048
143.45864661654136,-148.800614737932,-148.80055826133687
143.90977443609023,-148.80066299926037,-148.80055973191327
144.36090225563908,-148.80071611063568,-148.8005612024897
144.81203007518795,-148.8007717367546,-148.80056267306608
145.26315789473682,-148.80082720658075,-148.80056414364248
145.7142857142857,-148.8008795526433,-148.8005656142189
146.16541353383457,-148.800925560466,-148.8005670847953
146.61654135338344,-148.80096182830584,-148.80056855537168
147.0676691729323,-148.80098483722912,-148.80057002594808
147.51879699248119,-148.80099103137775,-148.8005714965245
147.96992481203006,-148.80097690808606,-148.8005729671009
148.42105263157893,-148.80093911729304,-148.80057443767728
148.8721804511278,-148.8008745694607,-148.8005759082537
149.32330827067668,-148.8007805509538,-148.8005773788301
149.77443609022555,-148.80065484556292,-148.8005788494065
150.22556390977442,-148.80049586055955,-148.8005488460066
150.6766917293233,-148.80030275536424,-148.80048736863034
151.12781954887217,-148.80007557058474,-148.8004258912541
151.57894736842104,-148.79981535484637,-148.80036441387784
152.0300751879699,-148.79952428649273,-148.8003029365016
152.4812030075188,-148.7992057868859,-148.80024145912535
152.93233082706766,-148.7988646216857,-148.8001799817491
153.38345864661653,-148.79850698614345,-148.80011850437285
153.8345864661654,-148.7981405701116,-148.80005702699663
154.28571428571428,-148.79777459815594,-148.79999554962038
154.73684210526315,-148.7974198398678,-148.79993407224413
155.18796992481202,-148.79708858522116,-148.79987259486788
155.6390977443609,-148.7967945796122,-148.79981111749163
156.09022556390977,-148.79655291307165,-148.79974964011538
156.54135338345864,-148.79637985806292,-148.79968816273913
156.99248120300751,-148.7962926502904,-148.79962668536288
157.4436090225564,-148.79630920705506,-148.79956520798666
157.89473684210526,-148.79644777793257,-148.7995037306104
158.34586466165413,-148.79672652292686,-148.79944225323416
158.796992481203,-148.79716301379804,-148.7993807758579
159.24812030075188,-148.79777365499845,-148.79931929848166
159.69924812030075,-148.7985730216067,-148.7992578211054
160.15037593984962,-148.7995731128503,-148.79923559461213
160.6015037593985,-148.80078252129582,-148.79929186988468
161.05263157894737,-148.80220551958632,-148.79934814515727
161.50375939849624,-148.80384106877096,-148.79940442042985
161.95488721804512,-148.8056817548312,-148.79946069570244
162.406015037594,-148.80771266302284,-148.799516970975
162.85714285714286,-148.80991020316168,-148.79957324624758
163.30827067669173,-148.81224090304426,-148.79962952152016
163.75939849624058,-148.81466019187775,-148.79968579679274
164.21052631578945,-148.81711120094755,-148.7997420720653
164.66165413533832,-148.81952361485781,-148.79979834733788
165.1127819548872,-148.82181261361347,-148.79985462261047
