r_no,polynomial,linear
1.1280701754385964,-181.2700960847541,-181.26325188131727
1.131578947368421,-181.27139801661798,-181.26413425711783
1.1350877192982456,-181.27261035962317,-181.26501663291836
1.1385964912280702,-181.27373522316685,-181.2658990087189
1.1421052631578947,-181.27477468944252,-181.26678138451942
1.1456140350877193,-181.2757308139584,-181.26766376031998
1.1491228070175439,-181.27660562603313,-181.2685461361205
1.1526315789473685,-181.2774011292687,-181.26942851192103
1.156140350877193,-181.27811930200107,-181.27031088772156
1.1596491228070176,-181.27876209772893,-181.27119326352212
1.1631578947368422,-181.27933144552048,-181.27207563932265
1.1666666666666667,-181.2798292503988,-181.27295801512318
1.170175438596491,-181.2802573937062,-181.27384039092374
1.1736842105263157,-181.28061773344749,-181.27472276672427
1.1771929824561402,-181.28091210461287,-181.2756051425248
1.1807017543859648,-181.28114231948044,-181.27648751832533
1.1842105263157894,-181.28131016789885,-181.27736989412588
1.187719298245614,-181.28141741755053,-181.2782522699264
1.1912280701754385,-181.28146581419557,-181.27913464572694
1.194736842105263,-181.28145708189697,-181.2800170215275
1.1982456140350877,-181.28139292322743,-181.28089939732803
1.2017543859649122,-181.28127501945826,-181.28100706343184
1.2052631578947368,-181.28110503073077,-181.28034001983892
1.2087719298245614,-181.28088459621063,-181.27967297624602
1.212280701754386,-181.28061533422567,-181.2790059326531
1.2157894736842105,-181.28029884238788,-181.2783388890602
1.219298245614035,-181.27993669769953,-181.27767184546727
1.2228070175438597,-181.27953045664464,-181.27700480187437
1.2263157894736842,-181.279081655266,-181.27633775828144
1.2298245614035088,-181.27859180922832,-181.27567071468854
1.2333333333333334,-181.2780624138682,-181.27500367109562
1.236842105263158,-181.27749494423165,-181.2743366275027
1.2403508771929825,-181.27689085509937,-181.2736695839098
1.243859649122807,-181.276251581001,-181.27300254031687
1.2473684210526317,-181.27557853621857,-181.27233549672397
1.2508771929824563,-181.27487311477998,-181.27166845313104
1.2543859649122806,-181.2741366904431,-181.27100140953814
1.2578947368421052,-181.2733706166714,-181.27033436594522
1.2614035087719297,-181.27257622660147,-181.26966732235232
1.2649122807017543,-181.27175483300346,-181.2690002787594
1.268421052631579,-181.2709077282348,-181.2683332351665
1.2719298245614035,-181.27003618418826,-181.26766619157357
1.275438596491228,-181.26914145223478,-181.26699914798067
1.2789473684210526,-181.26822476316198,-181.26633210438774
1.2824561403508772,-181.26728732710882,-181.26566506079484
1.2859649122807018,-181.26633033349745,-181.26499801720192
1.2894736842105263,-181.26535495096252,-181.26433097360902
1.292982456140351,-181.2643623272791,-181.2636639300161
1.2964912280701755,-181.26335358928952,-181.2629968864232
1.3,-181.26232984283016,-181.26232984283027
1.3035087719298246,-181.26129217265833,-181.26122530220363
1.307017543859649,-181.2602416423807,-181.260120761577
1.3105263157894735,-181.25917929438293,-181.25901622095037
1.3140350877192981,-181.25810614976223,-181.25791168032376
1.3175438596491227,-181.25702320826238,-181.25680713969712
1.3210526315789473,-181.25593144821275,-181.2557025990705
1.3245614035087718,-181.25483182647125,-181.25459805844386
1.3280701754385964,-181.25372527837214,-181.25349351781725
1.331578947368421,-181.25261271767909,-181.2523889771906
1.3350877192982455,-181.25149503654407,-181.25128443656396
1.3385964912280701,-181.2503731054727,-181.25017989593735
1.3421052631578947,-181.2492477732961,-181.2490753553107
1.3456140350877193,-181.24811986715054,-181.2479708146841
1.3491228070175438,-181.24699019246427,-181.24686627405745
1.3526315789473684,-181.24585953295303,-181.24576173343084
1.356140350877193,-181.24472865062373,-181.2446571928042
1.3596491228070176,-181.24359828578724,-181.24355265217756
1.3631578947368421,-181.24246915708042,-181.24244811155094
1.3666666666666667,-181.24134196149785,-181.2413435709243
1.3701754385964913,-181.24021737443314,-181.2402390302977
1.3736842105263158,-181.23909604973093,-181.23913448967105
1.3771929824561404,-181.23797861974865,-181.23802994904443
1.380701754385965,-181.23686569542954,-181.2369254084178
1.3842105263157896,-181.235757866386,-181.23582086779118
1.3877192982456141,-181.23465570099424,-181.23471632716453
1.3912280701754387,-181.23355974649976,-181.2336117865379
1.394736842105263,-181.23247052913436,-181.23250724591128
1.3982456140350876,-181.2313885542442,-181.23140270528464
1.4017543859649122,-181.2303143064294,-181.23039214052622
1.4052631578947368,-181.2292482496948,-181.22947555163597
1.4087719298245613,-181.22819082761242,-181.22855896274572
1.412280701754386,-181.22714246349523,-181.22764237385547
1.4157894736842105,-181.22610356058183,-181.22672578496525
1.419298245614035,-181.2250745022331,-181.225809196075
1.4228070175438596,-181.22405565213933,-181.22489260718476
1.4263157894736842,-181.22304735453883,-181.2239760182945
1.4298245614035088,-181.22204993444734,-181.2230594294043
1.4333333333333333,-181.22106369789788,-181.22214284051404
1.4368421052631577,-181.2200889321916,-181.2212262516238
1.4403508771929823,-181.21912590615864,-181.22030966273357
1.4438596491228068,-181.21817487042907,-181.21939307384332
1.4473684210526314,-181.2172360577139,-181.21847648495307
