r_nn,r_no,polynomial
0.91356783919598,1.085678391959799,-180.89900736206548
0.91356783919598,1.0894472361809044,-180.902072755862
0.91356783919598,1.09321608040201,-180.9050186750598
0.91356783919598,1.0969849246231154,-180.9078473620657
0.91356783919598,1.100753768844221,-180.91056104167106
0.91356783919598,1.1045226130653265,-180.9131619210516
0.91356783919598,1.108291457286432,-180.9156521897674
0.91356783919598,1.1120603015075377,-180.91803401976298
0.91356783919598,1.1158291457286431,-180.9203095653671
0.91356783919598,1.1195979899497486,-180.92248096329305
0.91356783919598,1.123366834170854,-180.92455033263826
0.91356783919598,1.1271356783919597,-180.92651977488484
0.91356783919598,1.1309045226130652,-180.928391373899
0.91356783919598,1.1346733668341706,-180.9301671959314
0.91356783919598,1.1384422110552763,-180.93184928961722
0.91356783919598,1.1422110552763818,-180.9334396859758
0.91356783919598,1.1459798994974872,-180.934940398411
0.91356783919598,1.1497487437185927,-180.9363534227109
0.91356783919598,1.1535175879396984,-180.93768073704817
0.91356783919598,1.1572864321608038,-180.93892430197963
0.91356783919598,1.1610552763819093,-180.9400860604466
0.91356783919598,1.164824120603015,-180.9411679377747
0.91356783919598,1.1685929648241205,-180.942171841674
0.91356783919598,1.172361809045226,-180.9430996622389
0.91356783919598,1.1761306532663314,-180.9439532719482
0.91356783919598,1.179899497487437,-180.944734525665
0.91356783919598,1.1836683417085425,-180.94544526063683
0.91356783919598,1.187437185929648,-180.9460872964955
0.91356783919598,1.1912060301507537,-180.9466624352574
0.91356783919598,1.1949748743718591,-180.94717246132302
0.91356783919598,1.1987437185929646,-180.94761914147745
0.91356783919598,1.20251256281407,-180.94800422489007
0.91356783919598,1.2062814070351757,-180.94832944311455
0.91356783919598,1.2100502512562812,-180.9485965100891
0.91356783919598,1.2138190954773866,-180.9488071221361
0.91356783919598,1.2175879396984923,-180.9489629579624
0.91356783919598,1.2213567839195978,-180.9490656786594
0.91356783919598,1.2251256281407032,-180.94911692770245
0.91356783919598,1.2288944723618087,-180.9491183309517
0.91356783919598,1.2326633165829144,-180.9490714966514
0.91356783919598,1.2364321608040199,-180.94897801543038
0.91356783919598,1.2402010050251255,-180.94883946030149
0.91356783919598,1.243969849246231,-180.9486573866624
0.91356783919598,1.2477386934673365,-180.94843333229485
0.91356783919598,1.251507537688442,-180.94816881736503
0.91356783919598,1.2552763819095474,-180.94786534442355
0.91356783919598,1.259045226130653,-180.94752439840533
0.91356783919598,1.2628140703517585,-180.94714744662969
0.91356783919598,1.2665829145728642,-180.94673593880023
0.91356783919598,1.2703517587939697,-180.94629130700508
0.91356783919598,1.2741206030150751,-180.94581496571666
0.91356783919598,1.2778894472361806,-180.94530831179173
0.91356783919598,1.281658291457286,-180.94477272447148
0.91356783919598,1.2854271356783917,-180.94420956538153
0.91356783919598,1.2891959798994972,-180.94362017853157
0.91356783919598,1.2929648241206029,-180.9430058903161
0.91356783919598,1.2967336683417083,-180.94236800951361
0.91356783919598,1.3005025125628138,-180.94170782728727
0.91356783919598,1.3042713567839193,-180.94102661718432
0.91356783919598,1.308040201005025,-180.94032563513662
0.91356783919598,1.3118090452261304,-180.9396061194603
0.91356783919598,1.3155778894472359,-180.93886929085582
0.91356783919598,1.3193467336683415,-180.93811635240814
0.91356783919598,1.323115577889447,-180.93734848958644
0.91356783919598,1.3268844221105525,-180.9365668702443
0.91356783919598,1.330653266331658,-180.93577264461982
0.91356783919598,1.3344221105527636,-180.93496694533528
0.91356783919598,1.338190954773869,-180.93415088739746
0.91356783919598,1.3419597989949745,-180.93332556819746
0.91356783919598,1.3457286432160802,-180.9324920675108
0.91356783919598,1.3494974874371857,-180.93165144749722
0.91356783919598,1.3532663316582911,-180.93080475270094
0.91356783919598,1.3570351758793966,-180.92995301005067
0.91356783919598,1.3608040201005023,-180.92909722885926
0.91356783919598,1.3645728643216077,-180.9282384008241
0.91356783919598,1.3683417085427132,-180.92737750002692
0.91356783919598,1.3721105527638189,-180.92651548293372
0.91356783919598,1.3758793969849243,-180.92565328839495
0.91356783919598,1.3796482412060298,-180.9247918376455
0.91356783919598,1.3834170854271353,-180.92393203430444
0.91356783919598,1.387185929648241,-180.92307476437549
0.91356783919598,1.3909547738693464,-180.92222089624647
0.91356783919598,1.3947236180904519,-180.92137128068978
