dihedral,spline,linear
82.10526315789473,-148.79373050492464,-148.79369977867256
82.5563909774436,-148.79371538165677,-148.7936856994279
83.00751879699247,-148.793698349847,-148.79367162018323
83.45864661654134,-148.79367976219226,-148.7936575409386
83.90977443609022,-148.79365997138956,-148.79364346169393
84.36090225563909,-148.7936393301358,-148.7936293824493
84.81203007518796,-148.79361819112796,-148.79361530320463
85.26315789473684,-148.7935969070631,-148.79360122395997
85.71428571428571,-148.7935758306381,-148.79358714471533
86.16541353383458,-148.79355531454993,-148.79357306547067
86.61654135338345,-148.79353571149557,-148.79355898622603
87.06766917293233,-148.793517374172,-148.79354490698137
87.5187969924812,-148.7935006552762,-148.7935308277367
87.96992481203007,-148.79348590750513,-148.79351674849207
88.42105263157895,-148.79347348355572,-148.7935026692474
88.87218045112782,-148.79346373612498,-148.79348859000277
89.32330827067669,-148.79345701790987,-148.7934745107581
89.77443609022556,-148.79345368160736,-148.79346043151344
90.22556390977444,-148.79345405675824,-148.79344418656595
90.67669172932331,-148.79345794031155,-148.79342577591558
91.12781954887218,-148.79346459662452,-148.79340736526524
91.57894736842104,-148.79347326689822,-148.7933889546149
92.03007518796991,-148.79348319233378,-148.79337054396453
92.48120300751879,-148.79349361413222,-148.7933521333142
92.93233082706766,-148.79350377349468,-148.79333372266385
93.38345864661653,-148.7935129116222,-148.79331531201348
93.8345864661654,-148.79352026971586,-148.79329690136314
94.28571428571428,-148.79352508897674,-148.7932784907128
94.73684210526315,-148.79352661060597,-148.79326008006242
95.18796992481202,-148.79352407580453,-148.79324166941208
95.6390977443609,-148.7935167257736,-148.79322325876174
96.09022556390977,-148.79350380171422,-148.79320484811137
96.54135338345864,-148.7934845448275,-148.79318643746103
96.99248120300751,-148.79345819631445,-148.7931680268107
97.44360902255639,-148.79342399737618,-148.79314961616032
97.89473684210526,-148.79338118921382,-148.79313120550998
98.34586466165413,-148.7933290130284,-148.79311279485964
98.796992481203,-148.79326671002104,-148.79309438420927
99.24812030075188,-148.79319352139277,-148.79307597355893
99.69924812030075,-148.79310868834472,-148.7930575629086
100.15037593984962,-148.79301146452892,-148.79299882997213
100.6015037593985,-148.79290185065847,-148.7928594524635
101.05263157894737,-148.792781005391,-148.79272007495484
101.50375939849623,-148.79265018699215,-148.7925806974462
101.9548872180451,-148.79251065372756,-148.79244131993755
102.40601503759397,-148.79236366386303,-148.7923019424289
102.85714285714285,-148.7922104756642,-148.7921625649203
103.30827067669172,-148.7920523473968,-148.79202318741164
103.75939849624059,-148.7918905373265,-148.791883809903
104.21052631578947,-148.79172630371903,-148.79174443239435
104.66165413533834,-148.79156090484005,-148.7916050548857
105.11278195488721,-148.7913955989553,-148.79146567737706
105.56390977443608,-148.7912316443304,-148.79132629986842
106.01503759398496,-148.7910702992311,-148.7911869223598
106.46616541353383,-148.79091282192314,-148.79104754485115
106.9172932330827,-148.79076047067215,-148.7909081673425
107.36842105263158,-148.79061450374388,-148.79076878983386
107.81954887218045,-148.790476179404,-148.79062941232522
108.27067669172932,-148.7903467559182,-148.79049003481657
108.7218045112782,-148.79022749155217,-148.79035065730793
109.17293233082707,-148.7901196445716,-148.7902112797993
109.62406015037594,-148.79002447324225,-148.79007190229066
110.07518796992481,-148.78994323504062,-148.78997391738557
110.52631578947368,-148.78987691992083,-148.79008289549824
110.97744360902254,-148.7898258620518,-148.7901918736109
111.42857142857142,-148.7897902969586,-148.79030085172357
111.87969924812029,-148.7897704601663,-148.79040982983622
112.33082706766916,-148.78976658719984,-148.7905188079489
112.78195488721803,-148.7897789135842,-148.79062778606158
113.23308270676691,-148.78980767484447,-148.79073676417423
113.68421052631578,-148.78985310650563,-148.7908457422869
114.13533834586465,-148.7899154440927,-148.79095472039958
114.58646616541353,-148.7899949231307,-148.79106369851223
115.0375939849624,-148.79009177914463,-148.7911726766249
115.48872180451127,-148.79020624765954,-148.7912816547376
115.93984962406014,-148.79033856420037,-148.79139063285024
116.39097744360902,-148.79048896429225,-148.79149961096292
116.84210526315789,-148.79065768346013,-148.7916085890756
117.29323308270676,-148.79084495722898,-148.79171756718824
117.74436090225564,-148.79105102112388,-148.79182654530092
118.19548872180451,-148.7912761106698,-148.79193552341357
118.64661654135338,-148.7915204613918,-148.79204450152625
119.09774436090225,-148.79178430881484,-148.79215347963893
119.54887218045113,-148.792067888464,-148.79226245775158
120.0,-148.79237143586425,-148.79237143586425
120.45112781954886,-148.79269477013295,-148.79272364672462
120.90225563909773,-148.79303604475672,-148.79307585758497
121.3533834586466,-148.79339299681445,-148.79342806844534
121.80451127819548,-148.79376336338515,-148.79378027930568
122.25563909774435,-148.7941448815477,-148.79413249016605
122.70676691729322,-148.79453528838116,-148.79448470102642
123.1578947368421,-148.7949323209644,-148.79483691188676
123.60902255639097,-148.79533371637632,-148.79518912274713
124.06015037593984,-148.79573721169592,-148.7955413336075
124.51127819548871,-148.79614054400213,-148.79589354446784
124.96240601503759,-148.7965414503739,-148.79624575532821
125.41353383458646,-148.79693766789018,-148.79659796618856
125.86466165413533,-148.7973269336299,-148.79695017704893
126.3157894736842,-148.797706984672,-148.7973023879093
126.76691729323308,-148.79807555809543,-148.79765459876964
127.21804511278195,-148.79843039097915,-148.79800680963
127.66917293233082,-148.7987692204021,-148.79835902049035
128.12030075187968,-148.7990897834432,-148.79871123135072
128.57142857142856,-148.7993898171814,-148.7990634422111
129.02255639097743,-148.7996670586957,-148.79941565307143
129.4736842105263,-148.79991924506496,-148.7997678639318
129.92481203007517,-148.80014411336816,-148.80012007479218
130.37593984962405,-148.80033978754457,-148.8001926190953
130.82706766917292,-148.80050696338066,-148.80020923008698
131.2781954887218,-148.80064738582809,-148.80022584107866
131.72932330827066,-148.80076280293343,-148.80024245207034
132.18045112781954,-148.8008549627432,-148.80025906306201
132.6315789473684,-148.8009256133039,-148.8002756740537
133.08270676691728,-148.80097650266208,-148.80029228504537
133.53383458646616,-148.80100937886425,-148.80030889603705
133.98496240601503,-148.801025989957,-148.80032550702873
134.4360902255639,-148.80102808398684,-148.8003421180204
134.88721804511277,-148.80101740900025,-148.8003587290121
135.33834586466165,-148.80099571304385,-148.80037534000377
135.78947368421052,-148.80096474416413,-148.80039195099545
136.2406015037594,-148.8009262504076,-148.80040856198713
136.69172932330827,-148.80088197982082,-148.8004251729788
137.14285714285714,-148.80083368045027,-148.80044178397048
137.593984962406,-148.80078310034258,-148.80045839496216
138.04511278195488,-148.8007319875442,-148.80047500595384
138.49624060150376,-148.8006820901017,-148.80049161694552
138.94736842105263,-148.8006351560616,-148.8005082279372
139.3984962406015,-148.80059293347045,-148.80052483892888
139.84962406015038,-148.80055717037473,-148.80054144992056
140.30075187969925,-148.80052948819448,-148.80054796730207
140.75187969924812,-148.80051003631573,-148.80054943787846
141.203007518797,-148.80049801442522,-148.80055090845485
141.65413533834587,-148.80049260638137,-148.80055237903127
142.10526315789474,-148.8004929960427,-148.80055384960767
142.5563909774436,-148.80049836726764,-148.80055532018406
143.00751879699249,-148.8005079039146,-148.80055679076048
143.45864661654136,-148.800520789842,-148.80055826133687
143.90977443609023,-148.80053620890837,-148.80055973191327
144.36090225563908,-148.80055334497212,-148.8005612024897
144.81203007518795,-148.8005713818917,-148.80056267306608
145.26315789473682,-148.8005895035255,-148.80056414364248
145.7142857142857,-148.800606893732,-148.8005656142189
146.16541353383457,-148.80062273636972,-148.8005670847953
146.61654135338344,-148.80063621529703,-148.80056855537168
147.0676691729323,-148.80064651437235,-148.80057002594808
147.51879699248119,-148.80065281745422,-148.8005714965245
147.96992481203006,-148.80065430840102,-148.8005729671009
148.42105263157893,-148.8006501710712,-148.80057443767728
148.8721804511278,-148.80063958932314,-148.8005759082537
149.32330827067668,-148.8006217470154,-148.8005773788301
149.77443609022555,-148.80059582800644,-148.8005788494065
150.22556390977442,-148.80056105258967,-148.8005488460066
150.6766917293233,-148.80051747906583,-148.80048736863034
151.12781954887217,-148.8004660037427,-148.8004258912541
151.57894736842104,-148.80040755936315,-148.80036441387784
152.0300751879699,-148.80034307867004,-148.8003029365016
152.4812030075188,-148.8002734944062,-148.80024145912535
152.93233082706766,-148.80019973931456,-148.8001799817491
153.38345864661653,-148.80012274613796,-148.80011850437285
153.8345864661654,-148.80004344761932,-148.80005702699663
154.28571428571428,-148.79996277650142,-148.79999554962038
154.73684210526315,-148.79988166552718,-148.79993407224413
155.18796992481202,-148.79980104743947,-148.79987259486788
155.6390977443609,-148.7997218549812,-148.79981111749163
156.09022556390977,-148.79964502089518,-148.79974964011538
156.54135338345864,-148.79957147792427,-148.79968816273913
156.99248120300751,-148.7995021588114,-148.79962668536288
157.4436090225564,-148.79943799629945,-148.79956520798666
157.89473684210526,-148.7993799231312,-148.7995037306104
158.34586466165413,-148.79932887204959,-148.79944225323416
158.796992481203,-148.79928577579744,-148.7993807758579
159.24812030075188,-148.7992515671177,-148.79931929848166
159.69924812030075,-148.79922717875317,-148.7992578211054
160.15037593984962,-148.79921353331684,-148.79923559461213
160.6015037593985,-148.79921094562854,-148.79929186988468
161.05263157894737,-148.7992187884286,-148.79934814515727
161.50375939849624,-148.79923635341822,-148.79940442042985
161.95488721804512,-148.7992629322987,-148.79946069570244
162.406015037594,-148.79929781677123,-148.799516970975
162.85714285714286,-148.79934029853712,-148.79957324624758
163.30827067669173,-148.79938966929757,-148.79962952152016
163.75939849624058,-148.79944522075382,-148.79968579679274
164.21052631578945,-148.7995062446072,-148.7997420720653
164.66165413533832,-148.7995720325588,-148.79979834733788
165.1127819548872,-148.79964187631003,-148.79985462261047
165.56390977443607,-148.79971506756203,-148.79991089788305
166.01503759398494,-148.79979089801608,-148.7999671731556
