oo,spline,linear
2.112781954887219,-148.74192191536733,-148.7420354733547
2.11779448621554,-148.74168638585707,-148.7418355199441
2.1228070175438605,-148.7414559224283,-148.7416355665335
2.127819548872181,-148.7412305383979,-148.7414356131229
2.132832080200502,-148.74101024708278,-148.7412356597123
2.137844611528823,-148.74079506179982,-148.7410357063017
2.1428571428571437,-148.74058499586593,-148.7408357528911
2.147869674185465,-148.74038006259806,-148.74063579948051
2.1528822055137855,-148.740180275313,-148.74043584606991
2.157894736842106,-148.73998564732773,-148.7402358926593
2.162907268170427,-148.73979619195913,-148.7400359392487
2.1679197994987476,-148.7396119225241,-148.7398359858381
2.1729323308270687,-148.73943285233952,-148.7396360324275
2.1779448621553894,-148.7392589947223,-148.7394360790169
2.1829573934837105,-148.73909036298934,-148.7392361256063
2.1879699248120312,-148.73892697045753,-148.7390361721957
2.192982456140352,-148.7387688304438,-148.7388362187851
2.1979949874686726,-148.73861595626502,-148.73863626537454
2.2030075187969933,-148.7384683383389,-148.7384742506505
2.208020050125314,-148.7383256244428,-148.7383375283842
2.213032581453635,-148.73818719858915,-148.7382008061179
2.218045112781956,-148.73805243800524,-148.73806408385158
2.223057644110277,-148.7379207199185,-148.7379273615853
2.2280701754385976,-148.73779142155618,-148.73779063931897
2.2330827067669183,-148.7376639201458,-148.73765391705268
2.238095238095239,-148.73753759291458,-148.73751719478636
2.2431077694235597,-148.73741181709,-148.73738047252007
2.2481203007518804,-148.73728596989935,-148.73724375025375
2.2531328320802015,-148.73715942857004,-148.73710702798746
2.2581453634085222,-148.7370315703294,-148.73697030572114
2.2631578947368434,-148.73690177240482,-148.73683358345485
2.268170426065164,-148.73676941202368,-148.73669686118856
2.2731829573934847,-148.73663386641334,-148.73656013892224
2.2781954887218054,-148.7364945128011,-148.73642341665595
2.283208020050126,-148.7363507284144,-148.73628669438963
2.2882205513784473,-148.73620189048057,-148.73614997212334
2.293233082706768,-148.73604737622702,-148.73601324985702
2.298245614035089,-148.73588656288106,-148.73587652759073
2.30325814536341,-148.73571889797475,-148.73571344777085
2.3082706766917305,-148.73554469781664,-148.7355361754221
2.313283208020051,-148.735364864673,-148.73535890307338
2.318295739348372,-148.73518031178617,-148.73518163072464
2.3233082706766925,-148.7349919523985,-148.7350043583759
2.3283208020050137,-148.73480069975236,-148.73482708602717
2.3333333333333344,-148.73460746709014,-148.73464981367843
2.3383458646616555,-148.73441316765414,-148.7344725413297
2.343358395989976,-148.7342187146868,-148.734295268981
2.348370927318297,-148.73402502143037,-148.73411799663225
2.3533834586466176,-148.73383300112732,-148.7339407242835
2.3583959899749383,-148.73364356701995,-148.73376345193478
2.363408521303259,-148.73345763235065,-148.73358617958604
2.36842105263158,-148.73327611036174,-148.7334089072373
2.373433583959901,-148.73309991429565,-148.73323163488857
2.378446115288222,-148.73292995739467,-148.73305436253983
2.3834586466165426,-148.73276715290118,-148.7328770901911
2.3884711779448633,-148.73261241405757,-148.73269981784236
2.393483709273184,-148.73246665410616,-148.73252254549365
2.3984962406015047,-148.73233078628937,-148.73234527314492
2.4035087719298254,-148.73220563834647,-148.7322532740963
2.4085213032581465,-148.7320911553167,-148.73219782074779
2.4135338345864676,-148.73198676149363,-148.73214236739923
2.4185463659147883,-148.7318918744401,-148.7320869140507
2.423558897243109,-148.73180591171902,-148.73203146070216
2.4285714285714297,-148.73172829089341,-148.73197600735364
2.4335839598997504,-148.7316584295262,-148.73192055400511
2.438596491228071,-148.73159574518021,-148.73186510065656
2.4436090225563922,-148.73153965541846,-148.73180964730804
2.448621553884713,-148.73148957780387,-148.7317541939595
2.453634085213034,-148.7314449298994,-148.73169874061097
2.4586466165413547,-148.73140512926793,-148.73164328726241
2.4636591478696754,-148.7313695934724,-148.7315878339139
2.468671679197996,-148.7313377400758,-148.73153238056537
2.473684210526317,-148.73130898664095,-148.73147692721682
2.4786967418546375,-148.73128275073086,-148.7314214738683
2.4837092731829586,-148.73125844990847,-148.73136602051974
2.4887218045112793,-148.73123550173673,-148.73131056717122
2.4937343358396005,-148.7312133237785,-148.7312551138227
2.498746867167921,-148.73119133359674,-148.73119966047415
2.503759398496242,-148.73116899249862,-148.73116707502388
2.5087719298245625,-148.73114614252842,-148.73114211220636
2.5137844611528832,-148.73112282176945,-148.73111714938884
